[2025-07-17 05:45:58] [INFO] Fetching main library page from Ollama.com
[2025-07-17 05:46:01] [INFO] Found 175 models on Ollama.com
[2025-07-17 05:46:01] [INFO][ollama_scrape][1/1] ==> Processing Ollama.com model: llama2 (1/1)
[2025-07-17 05:46:01] [INFO] Fetching details page: https://ollama.com/library/llama2
[2025-07-17 05:46:33] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/13b-chat-q4_0
[2025-07-17 05:46:34] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/13b-chat-q4_1
[2025-07-17 05:46:34] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/13b-chat-q4_K_S
[2025-07-17 05:46:35] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/13b-chat-q4_K_M
[2025-07-17 05:46:35] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/13b-chat-q5_0
[2025-07-17 05:46:36] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/13b-chat-q5_1
[2025-07-17 05:46:36] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/13b-chat-q5_K_S
[2025-07-17 05:46:37] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/13b-chat-q5_K_M
[2025-07-17 05:46:37] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/13b-chat-q6_K
[2025-07-17 05:46:38] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/13b-chat-q8_0
[2025-07-17 05:46:38] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/13b-chat-fp16
[2025-07-17 05:46:39] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/13b-text
[2025-07-17 05:46:39] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/13b-text-q2_K
[2025-07-17 05:46:40] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/13b-text-q3_K_S
[2025-07-17 05:46:40] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/13b-text-q3_K_M
[2025-07-17 05:46:41] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/13b-text-q3_K_L
[2025-07-17 05:46:41] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/13b-text-q4_0
[2025-07-17 05:46:42] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/13b-text-q4_1
[2025-07-17 05:46:42] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/13b-text-q4_K_S
[2025-07-17 05:46:43] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/13b-text-q4_K_M
[2025-07-17 05:46:43] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/13b-text-q5_0
[2025-07-17 05:46:44] [INFO][manifest_api] Fetching manifest from: https://registry.ollama.ai/v2/library/llama2/manifests/13b-text-q5_1
